"timestamp","age_group","gender","driver_category","driving_experience","drive_daily","familiar_with_signs","know_speed_limits","safety_training","aware_pedestrian_rules","know_distracted_penalty","seatbelt_usage","phone_use_last_6mo","speeding_habit","yield_pedestrians","drowsy_driving","safety_campaign_effective","leading_cause","suggestions","NA"
"2025/04/07 3:30:51 PM EST","18-25","Male","College Student",3,"No","Yes","Yes","Yes","Yes","Yes","Always","Yes","Sometimes","Always","Yes","Yes","DUI","Drivers should not driver when drunk ",""
"2025/04/07 3:51:45 PM EST","26-35","Male","College Student",4,"Yes","Yes","Yes","Yes","Yes","Yes","Always","Yes","Sometimes","Always","Yes","Yes","Driving below speed limit and lost of focus when driving ","Frequent road maintenance will reduce road accidents ",""
"2025/04/07 3:53:17 PM EST","18-25","Female","College Student",4,"Yes","Yes","Yes","No","Yes","Yes","Always","Yes","Sometimes","Always","Yes","No","The roads are not marked properly. The colored safety line that separates a road is very light. It is difficult to navigate sometimes","People drive little over the speed limit ",""
"2025/04/07 4:56:33 PM EST","26-35","Male","College Student",2,"Yes","Yes","No","Yes","Yes","Yes","Always","Yes","Sometimes","Always","Yes","Yes","N/A","N/A",""
"2025/04/07 5:01:38 PM EST","18-25","Female","College Student",5,"Yes","Yes","Yes","Yes","Yes","No","Sometimes","Yes","Frequently","Always","Yes","No","Texting and driving","Increased stoplights and increase traffic signs for pedestrian crossings",""
"2025/04/08 9:56:08 AM EST","36-50","Male","College Student",7,"Yes","Yes","Yes","Yes","Yes","Yes","Always","Yes","Sometimes","Always","No","No","Impatient leading to reckless driving ","People need learn how to slow down",""
"2025/04/08 10:51:04 AM EST","26-35","Male","College Student",4,"No","Yes","Yes","Yes","Yes","Yes","Always","Yes","Sometimes","Always","Yes","Yes","Distracted driving ","Avoid phone use while driving ",""
"2025/04/08 1:27:25 PM EST","16-25","Female","College Student",5,"Yes","Yes","Yes","Yes","Yes","Yes","Always","Yes","Sometimes","Always","Yes","Yes","People not giving the right of way","Stricter rules",""
"2025/04/08 1:27:29 PM EST","16-25","Male","College Student",5,"Yes","Yes","Yes","Yes","Yes","Yes","Sometimes","Yes","Sometimes","Always","No","No","People not paying attention ","Pay attention ",""
"2025/04/08 3:11:35 PM EST","16-25","Male","College Student",2,"No","Yes","Yes","No","Yes","No","Always","Yes","Sometimes","Always","Yes","Yes","A lot of inexperience drivers ","A more robust system in issuing drivers license. ",""
"2025/04/09 7:51:45 AM EST","36-50","Male","College Student",4,"Yes","Yes","Yes","Yes","Yes","No","Always","No","Never","Always","No","Yes","weather conditions","placing a band on driving during bad weather condiotions",""
"2025/04/09 1:09:09 PM EST","16-25","Female","College Student",4,"No","Yes","Yes","No","Yes","No","Always","Yes","Frequently","Always","Yes","No","Distracted driving","No",""
"2025/04/09 1:18:12 PM EST","16-25","Female","College Student",4,"Yes","Yes","Yes","Yes","Yes","Yes","Sometimes","Yes","Sometimes","Always","No","Yes","People on phones ","Nope",""
"2025/04/09 1:21:20 PM EST","16-25","Female","College Student",2,"Yes","Yes","Yes","Yes","Yes","Yes","Always","Yes","Sometimes","Always","No","Yes","Distracted driving ","More police enforcement ",""
"2025/04/09 1:40:41 PM EST","16-25","Female","College Student",4,"No","Yes","Yes","Yes","Yes","Yes","Always","Yes","Sometimes","Always","No","Yes","People being on their phones ","Not that i can think of",""
"2025/04/09 3:50:48 PM EST","16-25","Male","College Student",3,"Yes","Yes","Yes","Yes","Yes","Yes","Always","Yes","Sometimes","Always","Yes","No","New Drivers/ do not know how to drive","none",""
"2025/04/09 5:06:37 PM EST","16-25","Female","Commercial Driver",5,"Yes","Yes","Yes","Yes","Yes","Yes","Always","Yes","Frequently","Sometimes","Yes","No","Drunk driving","More cross walks for students",""
"2025/04/09 9:55:24 PM EST","16-25","Male","College Student",5,"Yes","Yes","Yes","Yes","Yes","Yes","Sometimes","Yes","Frequently","Always","Yes","Yes","Distracted driving","No",""
"2025/04/11 10:24:02 AM EST","16-25","Male","College Student",4,"Yes","Yes","Yes","Yes","Yes","No","Always","No","Sometimes","Always","Yes","No","I’ve seen a couple of em be caused by people gambling who just don’t recognize the light is red","I haven’t seen THAT many crashes, so I can’t say I have any ideas on how to fix the situation. but yes i would love if people would stop using the crosswalks on ISU campus when the light is green and people are trying to go. That’s on the pedestrian rather than the driver though.",""
"2025/04/11 2:51:22 PM EST","36-50","Male","College Faculty/Staff",16,"Yes","Yes","Yes","No","Yes","No","Always","Yes","Frequently","Always","No","Yes","careless driving",NA,""
"2025/04/11 3:03:34 PM EST","26-35","Male","College Faculty/Staff",14,"Yes","Yes","Yes","No","Yes","Yes","Always","No","Sometimes","Sometimes","No","No","Running red lights at crosses.","Obey traffic lights.",""
"2025/04/11 4:21:11 PM EST","36-50","Male","College Faculty/Staff",35,"Yes","Yes","No","Yes","Yes","No","Always","Yes","Frequently","Always","Yes","No","Distracted driving","Nope",""
"2025/04/11 7:43:31 PM EST","26-35","Male","College Faculty/Staff",12,"Yes","Yes","No","No","Yes","No","Always","Yes","Frequently","Sometimes","No","No","Not sure, I would guess distracted driving","Implement traffic calming measures and improve public transport",""
"2025/04/14 11:25:32 AM EST","26-35","Male","College Faculty/Staff",11,"Yes","Yes","Yes","Yes","Yes","Yes","Always","No","Never","Always","Yes","Yes","Distracted driving and driving under influence, as well as reckless speeding from some drivers.","Better public transportation would limit the number of people driving under the influence. We also need to better protect many of the crosswalks in town where drivers don't stop for pedestrians.",""
"2025/04/14 11:26:23 AM EST","36-50","Male","College Faculty/Staff",26,"Yes","Yes","Yes","Yes","Yes","No","Always","No","Sometimes","Always","No","No","Speeding","Be less aggressive",""
"2025/04/14 11:49:35 AM EST","26-35","Female","College Faculty/Staff",14,"Yes","Yes","Yes","Yes","Yes","Yes","Always","Yes","Sometimes","Always","No","Yes","Distracted driving","no",""
"2025/04/14 11:51:51 AM EST","51 +","Female","College Faculty/Staff",26,"Yes","Yes","Yes","Yes","Yes","Yes","Always","Yes","Frequently","Always","Yes","No","cell phone use and distracted driving"," road rage","regular required testing when renewing a license"
"2025/04/14 12:46:20 PM EST","51 +","Male","College Faculty/Staff",25,"Yes","Yes","Yes","No","Yes","No","Always","No","Sometimes","Always","No","No","High speed and teen driving","raise minimum driving age",""
"2025/04/14 1:52:53 PM EST","36-50","Female","College Faculty/Staff",34,"Yes","Yes","Yes","Yes","Yes","No","Always","Yes","Sometimes","Always","No","Yes","distracted driving","unsure",""
"2025/04/14 4:16:59 PM EST","36-50","Female","College Faculty/Staff",22,"Yes","Yes","Yes","Yes","Yes","Yes","Always","Yes","Sometimes","Always","No","Yes","Speeding","No",""
"2025/04/18 10:09:13 AM EST","51 +","Male","College Faculty/Staff",53,"Yes","Yes","Yes","No","Yes","No","Always","Yes","Sometimes","Always","Yes","Yes","Distracted driving","Teach them line dance",""
"2025/04/18 3:36:16 PM EST","36-50","Female","College Faculty/Staff",28,"Yes","Yes","Yes","Yes","Yes","Yes","Always","Yes","Sometimes","Always","Yes","No","distracted driving","work on jay walking"," college avenue and fell ave is a very dangerous intersection"
"2025/04/23 5:06:16 PM EST","51 +","Female","College Faculty/Staff",45,"Yes","Yes","Yes","Yes","Yes","Yes","Always","No","Sometimes","Always","Yes","No","distracted driving","use cameras to monitor traffic and issue citations",""
"","36-50","Female","Commercial Driver",28,"Yes","Yes","Yes","Yes","Yes","Yes","Always","No","Never","Always","No","No","phone texting","phone texting",""
"","36-50","Female","Commercial Driver",15,"Yes","Yes","Yes","Yes","Yes","Yes","Always","Yes","Occasionally","Always","Yes","Yes","Distracted driving","",""
"","36-50","Female","Commercial Driver",16,"Yes","Yes","Yes","Yes","Yes","Yes","Always","No","Occasionally","Always","Yes","Yes","phones","people need more awareness",""
"","51+","Female","Commercial Driver",37,"Yes","Yes","Yes","Yes","Yes","Yes","Always","Yes","Occasionally","Always","","Yes","phone texting","Be more conscience when driving",""
